name	id	alias	article	image	webpage
Nat LaCour	/guid/9202a8c04000641f8000000004772af1		/guid/9202a8c04000641f8000000004772af4		
Saskatchewan Highway 753	/guid/9202a8c04000641f8000000004772e99		/guid/9202a8c04000641f8000000004772e9c		
Health Realization	/guid/9202a8c04000641f8000000004772f3e		/guid/9202a8c04000641f8000000004772f41		
Pleasant View	/guid/9202a8c04000641f800000000477345b	Pleasant View, Colorado	/guid/9202a8c04000641f800000000477345e		
Brandywine School	/guid/9202a8c04000641f8000000004768516		/guid/9202a8c04000641f8000000004768519	An illustration from Howard Pyle's Book of Pirates (1903) exemplifies the \\"Brandywine School\\" style.	
Nostradamus Ate My Hamster	/guid/9202a8c04000641f8000000004773521		/guid/9202a8c04000641f8000000004773524		
Lisa's Song	/guid/9202a8c04000641f8000000004767ae6		/guid/9202a8c04000641f8000000004767ae9	Lisa's Song+ 6 Songs cover	
Chuuk football team	/guid/9202a8c04000641f8000000004773ed7		/guid/9202a8c04000641f8000000004773eda	Shirt badge/Association crest	
Standon Green End	/guid/9202a8c04000641f80000000047743f4	Standon Green End, Hertfordshire	/guid/9202a8c04000641f80000000047743f7		
BYU Concert Choir	/guid/9202a8c04000641f80000000047675a8		/guid/9202a8c04000641f80000000047675ab		
Unity School District	/guid/9202a8c04000641f8000000004774907		/guid/9202a8c04000641f800000000477490a		/guid/9202a8c04000641f80000000072e2161
Alexander Aquino	/guid/9202a8c04000641f800000000476706a		/guid/9202a8c04000641f800000000476706d	Mister Philippines is Mister International 2001	/guid/9202a8c04000641f80000000072e135e
Daniel's Vision of Chapter 8	/guid/9202a8c04000641f8000000004774a9f		/guid/9202a8c04000641f8000000004774aa2	Dan8parallel	
Culet	/guid/9202a8c04000641f8000000004774b65		/guid/9202a8c04000641f8000000004774b68		
Water supply and sanitation in France	/guid/9202a8c04000641f8000000004774c0a		/guid/9202a8c04000641f8000000004774c0d		
Australian Centre for Christianity and Culture	/guid/9202a8c04000641f8000000004775082		/guid/9202a8c04000641f8000000004775085	ACCC Logo	
Mike McClennan	/guid/9202a8c04000641f8000000004775f79		/guid/9202a8c04000641f8000000004775f7c		
Cicero Consulting	/guid/9202a8c04000641f8000000004776013		/guid/9202a8c04000641f8000000004776016		
Falcon	/guid/9202a8c04000641f8000000004776496		/guid/9202a8c04000641f8000000004776499		/guid/9202a8c04000641f80000000072e241e
Short-eared Rock-wallaby	/guid/9202a8c04000641f8000000004766b4d		/guid/9202a8c04000641f8000000004766b50	Shorteared Rock Wallaby,Petrogale brachyotis1	
Lioré et Olivier LeO H.242	/guid/9202a8c04000641f800000000477653b		/guid/9202a8c04000641f800000000477653e		
BAE Systems Air Systems	/guid/9202a8c04000641f8000000004776601		/guid/9202a8c04000641f8000000004776604		
NPDO	/guid/9202a8c04000641f8000000004777427		/guid/9202a8c04000641f800000000477742a		
Linda Marigliano	/guid/9202a8c04000641f800000000477794f		/guid/9202a8c04000641f8000000004777952		
Io	/guid/9202a8c04000641f8000000004777a0a		/guid/9202a8c04000641f8000000004777a0d		
Manhunt	/guid/9202a8c04000641f8000000004777f81		/guid/9202a8c04000641f8000000004777f84		
Comentarios Reales de los Incas	/guid/9202a8c04000641f80000000047780ed		/guid/9202a8c04000641f80000000047780f0		
Oracle Data Mining	/guid/9202a8c04000641f80000000047781b3		/guid/9202a8c04000641f80000000047781b6	Oracle Data Mining GUI	
Donaldson International Airlines	/guid/9202a8c04000641f80000000047786db		/guid/9202a8c04000641f80000000047786de	Donaldson International Boeing 707 at Prestwick Airport, Scotland,Donaldson International Logo	
Swedish Lapphund	/guid/9202a8c04000641f80000000047666ea	Lapphund,Svensk Lapphund,Lapplandska Spets,Lapland Spitz	/guid/9202a8c04000641f80000000047666ed	Svensk lapphund	/guid/9202a8c04000641f80000000095206ad
Jacques van Ypersele de Strihou	/guid/9202a8c04000641f8000000004778869		/guid/9202a8c04000641f800000000477886c		
Central at Osborn	/guid/9202a8c04000641f800000000477890e		/guid/9202a8c04000641f8000000004778911		
Martin Garrick	/guid/9202a8c04000641f8000000004778b6c		/guid/9202a8c04000641f8000000004778b6f		
Johnny Coppin	/guid/9202a8c04000641f80000000047663dc		/guid/9202a8c04000641f80000000047663df		/guid/9202a8c04000641f80000000072e1245
Stephen Cochran	/guid/9202a8c04000641f8000000004778c32		/guid/9202a8c04000641f8000000004778c35		
Investment Certificate	/guid/9202a8c04000641f80000000047798d5		/guid/9202a8c04000641f80000000047798d8		
Expansion ratio	/guid/9202a8c04000641f800000000477a6cd		/guid/9202a8c04000641f800000000477a6d0		
Rehearsal	/guid/9202a8c04000641f800000000477ad99		/guid/9202a8c04000641f800000000477ad9c		
Oregon Ballot Measure 45	/guid/9202a8c04000641f800000000477ae3e		/guid/9202a8c04000641f800000000477ae41		
Long Range Surveillance Company	/guid/9202a8c04000641f800000000477af04		/guid/9202a8c04000641f800000000477af07		
Sykes Churches Trail	/guid/9202a8c04000641f800000000477b5b9		/guid/9202a8c04000641f800000000477b5bc		
Sabi River	/guid/9202a8c04000641f800000000477baf7		/guid/9202a8c04000641f800000000477bafa		
Does Anybody Really Know What Time It Is?	/guid/9202a8c04000641f80000000047660ce		/guid/9202a8c04000641f80000000047660d1		
Sitt al-Bayt	/guid/9202a8c04000641f800000000477beaa		/guid/9202a8c04000641f800000000477bead	Set elbait	
Organization of Lebanese Socialists	/guid/9202a8c04000641f800000000477c247		/guid/9202a8c04000641f800000000477c24a		
North Carolina Highway 69	/guid/9202a8c04000641f8000000004765f62		/guid/9202a8c04000641f8000000004765f65		
7th Regiment Indiana Infantry	/guid/9202a8c04000641f800000000477c76f		/guid/9202a8c04000641f800000000477c772		
1987–1988 United States network television schedule	/guid/9202a8c04000641f800000000477c835	1987-1988 United States network television schedule	/guid/9202a8c04000641f800000000477c838		
Bleepfest	/guid/9202a8c04000641f800000000477cd73		/guid/9202a8c04000641f800000000477cd76		
Post Mortem	/guid/9202a8c04000641f800000000477d4fb		/guid/9202a8c04000641f800000000477d4fe		
Nidopallium	/guid/9202a8c04000641f800000000477d5c1		/guid/9202a8c04000641f800000000477d5c4		
Nutty Mads	/guid/9202a8c04000641f800000000477da24		/guid/9202a8c04000641f800000000477da27	Donald the Demon	
Stairway To Heaven/Highway To Hell	/guid/9202a8c04000641f800000000477df4c		/guid/9202a8c04000641f800000000477df4f	Stairway to Heaven/Highway to Hell	
Eastwood Mall	/guid/9202a8c04000641f8000000004765c54		/guid/9202a8c04000641f8000000004765c57	Eastwood Mall logo	/guid/9202a8c04000641f80000000072e117a
The Postmodern Life of My Aunt	/guid/9202a8c04000641f800000000477e3b9		/guid/9202a8c04000641f800000000477e3bc		
Iota Crucis	/guid/9202a8c04000641f800000000477e9a7		/guid/9202a8c04000641f800000000477e9aa		
José Martí and the First International American Conference	/guid/9202a8c04000641f8000000004765716		/guid/9202a8c04000641f8000000004765719	José Martí	
2002-03 Sri Lankan cricket season	/guid/9202a8c04000641f8000000004765408		/guid/9202a8c04000641f800000000476540b		
I, Thighpaulsandra	/guid/9202a8c04000641f800000000477ecaa		/guid/9202a8c04000641f800000000477ecad	I, Thighpaulsandra cover	
Lois Ruby	/guid/9202a8c04000641f800000000477f327		/guid/9202a8c04000641f800000000477f32a		
Calafquén Lake	/guid/9202a8c04000641f8000000004764b20		/guid/9202a8c04000641f8000000004764b23		
Candyman	/guid/9202a8c04000641f800000000477f59d		/guid/9202a8c04000641f800000000477f5a0	\\"Candyman\\" cover	
American Center for Mongolian Studies	/guid/9202a8c04000641f800000000477f663		/guid/9202a8c04000641f800000000477f666	Acmslogo	/guid/9202a8c04000641f80000000072e2e8f
PlaneTalk	/guid/9202a8c04000641f8000000004764a5a		/guid/9202a8c04000641f8000000004764a5d		
Terry Woodgate	/guid/9202a8c04000641f800000000476499f		/guid/9202a8c04000641f80000000047649a2		
Poa meditative technique	/guid/9202a8c04000641f800000000477fafe		/guid/9202a8c04000641f800000000477fb01		
Albert Bustamante	/guid/9202a8c04000641f800000000477fbc4		/guid/9202a8c04000641f800000000477fbc7	Albert Bustamante	
Francis Hickson Christian	/guid/9202a8c04000641f8000000004780031		/guid/9202a8c04000641f8000000004780034		
Jason Shelton	/guid/9202a8c04000641f800000000476420e		/guid/9202a8c04000641f8000000004764211		
Amory School District	/guid/9202a8c04000641f8000000004780178		/guid/9202a8c04000641f800000000478017b		
John Ponsonby, 5th Earl of Bessborough	/guid/9202a8c04000641f8000000004764169		/guid/9202a8c04000641f800000000476416c		
Interregional Green Party	/guid/9202a8c04000641f800000000478021d		/guid/9202a8c04000641f8000000004780220		
Pendula	/guid/9202a8c04000641f8000000004780766		/guid/9202a8c04000641f8000000004780769		
Edward Connerton	/guid/9202a8c04000641f800000000478080b		/guid/9202a8c04000641f800000000478080e		
Culex tritaeniorhynchus	/guid/9202a8c04000641f80000000047817d2		/guid/9202a8c04000641f80000000047817d5		
